Name,Type,Role,Country,Description,Supporting_Text
"Ben Metcalfe","Individual","Financed and promoted billboard adverts in Vancouver to popularize ecology as a revolutionary idea.","Canada","Journalist who later became the first chairman of Greenpeace.","Ben Metcalfe (1919-2003), a journalist who later became the first chairman of Greenpeace, paid for the posters as he wanted to promote ecology as a revolutionary idea."
"Edward Goldsmith","Individual","Created a publishing platform that disseminated ecological ideas and the influential manifesto “A Blueprint for Survival”.","United Kingdom","Editor and environmental thinker who launched *The Ecologist* magazine.","Edward Goldsmith (1928-2009) published the first edition of a new magazine called The Ecologist as a platform for environmental thinking in the UK"
"Paul Sears","Individual","Provided intellectual framing that linked ecological science to critiques of modern economic and technological growth.","United States","Ecologist and academic who described ecology as a subversive subject.","the ecologist Paul Sears (1891-1990) described ecology as 'a subversive subject'"
"Murray Bookchin","Individual","Developed a revolutionary, radical ecology that critiques reformist environmentalism and links social conditions with human‑nature relationships.","None","Political philosopher and ecologist who combined anarchist philosophy with ecology.","Murray Bookchin (1921-2006) developed a more politically revolutionary approach, in which he combined anarchist political philosophy with ecology in books such as Post-Scarcity Anarchism (1970)."
"Arne Naess","Individual","Introduced the biocentric, Earth‑centred philosophical framework that places nature’s intrinsic value before human interests.","None","Norwegian philosopher who coined the term “deep ecology”.","This viewpoint is often described as 'deep ecology' - a term introduced in the early 1970s by the Norwegian philosopher Arne Naess (1912-2009)."
"James Lovelock","Individual","Provided a scientific articulation of biocentric environmentalism by proposing that Earth functions as a self‑regulating living system.","None","Scientist known for formulating the Gaia hypothesis.","The US National Aeronautics and Space Administration (NASA) scientist James Lovelock (b. 1919) introduced a scientific twist to the biocentric approach to environmentalism when he developed his Gaia hypothesis during the 1970s."
"US National Aeronautics and Space Administration (NASA)","Organization","Commissioned James Lovelock to investigate life‑detection methods, indirectly enabling the development of the Gaia hypothesis.","United States","United States federal agency responsible for the civilian space program and aeronautics research.","The US National Aeronautics and Space Administration (NASA) scientist James Lovelock (b. 1919) introduced a scientific twist to the biocentric approach to environmentalism..."
"Royal Commission for Environmental Pollution","Organization","Created to investigate and advise on the harmful effects of environmental pollution, supporting the institutionalisation of environmental science in policy.","United Kingdom","UK government‑appointed advisory body on environmental pollution.","It was not until 1970 that the UK government set up the Royal Commission for Environmental Pollution..."
"Department for the Environment","Organization","Founded in 1970 to coordinate governmental response to environmental concerns, integrating scientific data into governance.","United Kingdom","UK government department responsible for environmental policy and regulation.","...and a Department for the Environment..."
"United Nations (UN system)","Organization","Endorsed and supported global collaboration and research programmes that advanced environmental science and informed policy.","International","The intergovernmental organization that coordinates global scientific and policy initiatives.","Starting in the late 1960s, the UN system endorsed and supported global collaboration and research programmes such as the Global Atmospheric Research Programme (GARP) and the Global Environment Monitoring System (GEMS)."
"Global Atmospheric Research Programme (GARP)","Organization","Provided a coordinated platform for scientists to develop and share atmospheric data and models, contributing to climate and environmental policy.","International","An international research programme focused on atmospheric science.","Starting in the late 1960s, the UN system endorsed and supported global collaboration and research programmes such as the Global Atmospheric Research Programme (GARP) ..."
"Global Environment Monitoring System (GEMS)","Organization","Collected and disseminated environmental data (e.g., atmospheric composition, oceanic temperature) that underpinned scientific assessments and policy discussions.","International","A United Nations‑run system for monitoring global environmental parameters.","... research programmes such as the Global Atmospheric Research Programme (GARP) and the Global Environment Monitoring System (GEMS)."
"International Union for Conservation of Nature (IUCN)","Organization","Published Red Data Books that identified threatened species, supplying critical evidence for biodiversity policy and conservation action.","International","A global union of governments and civil society organizations working on nature conservation and sustainable use of natural resources.","From 1966 onwards, the International Union for Conservation of Nature (IUCN) published Red Data Books of threatened species in need of conservation attention..."
"IPCC Working Group I","Organization","Enabled scientists with different expertise to share ideas and develop integrated climate models, strengthening the scientific basis for policy.","International","One of the three working groups of the IPCC, focusing on the physical science basis of climate change.","Through the IPCC's scientific Working Group 1, scientists with different expertise shared ideas and gained a broader picture of how their work related to the issue."
"World Climate Research Programme (WCRP)","Organization","Established a global framework for climate observations and modelling, supporting the emergence of modern climate science.","International","An international programme that coordinates climate research worldwide.","the first World Climate Research Programme was established in 1980."
"Convention on Biological Diversity (CBD)","Organization","Provided the legal and policy framework that brought biodiversity to the global political agenda, especially after the 1992 Rio Earth Summit.","International","An international treaty under the United Nations aimed at conserving biological diversity, sustainable use of its components, and fair sharing of benefits.","Biodiversity together with climate change secured global attention at the 1992 Rio Earth Summit through the CBD and the UNFCCC."
"Robert Angus Smith","Individual","Monitored sulphuric acid in rain and documented its harmful effects, providing early scientific evidence of air‑pollution impacts.","United Kingdom","Britain's first official air‑pollution inspector (1817‑84).","Robert Angus Smith (1817-84), Britain's first official air-pollution inspector, monitored the concentration of sulphuric acid in rain near to industrial Manchester and described its effects in his book Air and Rain (1872)"
"Beaver Committee","Organization","Produced the Beaver Committee Report (1954) highlighting the intolerable levels of air pollution and the harmful nature of sulphur dioxide.","United Kingdom","A UK government‑appointed committee that investigated air‑pollution in the early 1950s. A committee that conducted an early attempt to cost the damage caused by air pollution in the mid‑1950s.","The resulting Beaver Committee Report (1954) concluded that levels of air pollution could no longer be tolerated but also observed that 'sulphur dioxide is one of the most harmful of all polluting agents'."
"UK Department of the Environment","Government","Scientists and civil servants within the department advocated for reducing sulphur dioxide emissions in the 1980s.","United Kingdom","British governmental department responsible for environmental policy.","By the early 1980s, scientists and civil servants at the UK Department of the Environment were convinced that it was in Britain's interests to reduce sulphur dioxide emissions"
"Organisation for Economic Co-operation and Development (OECD)","Organization","Coordinated a five‑year multinational study (1972‑77) on acid rain involving eleven European countries.","International","International intergovernmental economic organization.","It prompted a five-year study into acid rain by the Organisation for Economic Co-operation and Development (OECD), in which eleven European countries, including the UK and Sweden, participated (1972-77)."
"United States government","Government","Conducted a scientific assessment of acid‑rain impacts and initially resisted regulatory action, later signing an air‑quality accord with Canada in 1991.","United States","Federal government of the United States of America.","the US and Canadian governments undertook a similar scientific exercise, concluding that effects on fish, forestry and farming were serious"
"Canadian government","Government","Participated in joint scientific assessments of acid rain and signed a bilateral air‑quality accord with the United States in 1991.","Canada","Federal government of Canada.","the US and Canadian governments undertook a similar scientific exercise, concluding that effects on fish, forestry and farming were serious"
"Germany","Government","Responded to public pressure over forest damage by moving toward emission‑reduction policies.","Germany","Federal government of Germany.","Germany, though a large emitter of sulphur dioxide, was stung into action by public reaction to the death of much loved national forests and an increasingly vocal green movement."
"Ronald Reagan","Individual","His administration’s stance delayed the 1991 Canada‑USA air‑quality accord on acid rain.","United States","President of the United States (1981‑1989).","An air quality accord between Canada and the USA was signed in 1991 after a change in administration from President Ronald Reagan (1981-89) to President George H. Bush (b. 1924)."
"European Union (EU)","Organization","Implemented a precautionary approach by placing a moratorium on the commercial growing of genetically modified (GM) crops.","European Union","A supranational political and economic union of European member states.","The EU placed a moratorium on the commercial growing of GM crops on this basis."
"US Food and Drink Administration (FDA)","Government","Introduced the scientific criterion of substantial equivalence to assess GM products, emphasizing similarity to existing foods rather than applying a precautionary principle.","United States","The United States federal agency responsible for protecting public health through regulation of food, drugs, and related products.","the US Food and Drink Administration (FDA) introduced scientific criteria called substantial equivalence to identify how similar new products were to existing ones."
"UK scientists","Other","Have not been able to demonstrate the safety of GM crops and have faced protests that destroyed every crop trial attempted since 2000.","United Kingdom","Researchers and academic experts based in the United Kingdom working on agricultural and environmental science.","UK scientists are no nearer to proving that GM crops are safe as protesters have found and destroyed every crop trial attempted since 2000."
"Shell","Organization","Owned the Brent Spar buoy, identified deep‑sea disposal in UK waters as the preferred environmental option, and promoted this plan with technical studies supported by the UK government.","Netherlands","A multinational oil and gas corporation (Royal Dutch Shell).","The Brent Spar was owned by the Shell oil company. Shell had identified deep‑sea disposal in UK waters as the best environmental option at reasonable cost. Its decision was supported by technical studies and by the UK government."
"IPCC","Organization","Produces assessment reports that serve as scientific basis for climate policy and are central to governance efforts to account for nature's wellbeing.","None","Intergovernmental Panel on Climate Change, created to make climate science relevant, understandable and clear.","When the IPCC was created, its purpose was to make climate science relevant, understandable and clear."
"Wall Street Journal","Organization","Amplified industry‑linked criticisms of IPCC findings, shaping public debate and political pressure on climate governance.","United States","U.S. newspaper that reported on alleged procedural violations in IPCC reports.","In 1995 the Wall Street Journal picked up and published claims that editorial changes to the second report on the science of climate change were in violation of IPCC rules of procedure and would 'deceive policy makers and the public into believing that the scientific evidence shows human activities ..."
"Fred Singer","Individual","Provided scientific authority to challenges against the IPCC consensus, influencing public and policy discourse on climate change.","United States","American physicist known for climate‑skeptic positions.","Academics such as the American physicist Fred Singer (b. 1924) ... added scientific authority to a continuous stream of challenges to climate science."
"Bjørn Lomborg","Individual","Contributed scholarly arguments that contested IPCC conclusions, affecting the framing of climate governance debates.","Denmark","Danish statistician and author noted for questioning the cost‑effectiveness of climate policies.","...and the Danish statistician Bjørn Lomborg (b. 1965) added scientific authority to a continuous stream of challenges to climate science."
"Exxon Mobil","Organization","Faced direct challenge from the Royal Society over its stance on climate science, exemplifying corporate resistance to climate governance measures.","United States","World's richest oil and gas company, member of the Global Climate Coalition.","Direct conflict broke out in 2006 when Exxon Mobil, the world's richest company and a member of the Global Climate Coalition, was challenged in an exchange of letters that became public with the Royal Society."
"Royal Society","Organization","Engaged publicly with Exxon Mobil, defending scientific integrity of climate assessments and influencing policy discussions.","United Kingdom","The United Kingdom's oldest scientific academy. The United Kingdom’s national academy of sciences, dedicated to promoting excellence in science.","...was challenged in an exchange of letters that became public with the Royal Society, the world's oldest scientific academy."
"Climatic Research Unit (CRU)","Organization","Produced key climate data used by the IPCC; became a focal point of scrutiny and controversy, affecting trust in climate science governance.","United Kingdom","Research unit at the University of East Anglia that develops global temperature records.","The challenge to climate science reached a new peak after approximately 1000 emails from the Climatic Research Unit (CRU) at the University of East Anglia (UEA) were hacked and posted on the internet in November 2009."
"Muir Russell","Individual","Led a review that assessed the conduct of CRU scientists, influencing public confidence and policy responses to climate science challenges.","United Kingdom","Chair of the independent review of the CRU email controversy.","The Muir Russell emails review found 'their rigour and honesty as scientists are not in doubt'..."
"Daily Telegraph","Organization","Reported on the hostile climate‑science environment, shaping public perception of scientific debates and influencing political pressure on climate governance.","United Kingdom","UK broadsheet newspaper.","the Daily Telegraph, the most widely circulated broadsheet in the UK, summarised the atmosphere of hostility..."
"E. O. Wilson","Individual","Provides a scholarly observation that new scientific ideas face resistance but can endure, underscoring the persistence needed in climate‑change advocacy.","United States","Edward O. Wilson (born 1929) is an American biologist, naturalist, and author known for his work on biodiversity and sociobiology.","The biologist E. O. Wilson (b. 1929) has observed that 'any new idea will take some serious hits', but that if sound, ideas will ultimately survive."
"Adam Smith","Individual","Identified rent from land as a stable source of public revenue, laying early groundwork for recognizing natural resources in economic analysis.","United Kingdom","Scottish moral philosopher and economist, author of *The Wealth of Nations*.","Adam Smith (1723-90) described rent from the use of land, the wages of labour and profits of stock as 'the three original sources of all revenue as well as of all exchangeable value.'"
"David Ricardo","Individual","Developed early economic theories that later informed discussions of land and resource economics.","United Kingdom","British classical economist known for the theory of comparative advantage and rent.","political economists David Ricardo (1772-1823) and, later, Karl Marx (1818-83) set out their work on economics."
"Karl Marx","Individual","Described land as a reservoir of resources and a fundamental element of production, influencing later environmental economic thought.","Germany","German philosopher, economist, and revolutionary socialist.","Karl Marx described land as providing a 'reservoir' of resources for coal and minerals, as 'powers of nature' driving mills, and as the 'element of production' for agriculture."
"Anne‑Robert‑Jacques Turgot","Individual","Outlined the concept that land productivity has a maximum, highlighting limits to resource‑based wealth.","France","French economist and statesman, early proponent of the law of diminishing returns in agriculture.","Anne‑Robert‑Jacques Turgot (1727-81) outlined a law of diminishing returns in agriculture, arguing that there was a maximum point of land productivity that was impossible to surpass."
"William Stanley Jevons","Individual","Highlighted the paradox of increased fuel efficiency leading to greater consumption, an early insight into rebound effects on natural resources.","United Kingdom","British economist and logician, author of *The Coal Question*.","In 1865, William Stanley Jevons (1835-82) published The Coal Question: An Inquiry Concerning the Progress of the Nation, and the Probable Exhaustion of our Coal‑mines, in which he argued that improvements in fuel efficiency tended to increase, rather than decrease, fuel use."
"John Stuart Mill","Individual","One of the first economists to treat the environment as more than a production input, advocating for a stationary‑state economy and warning against unlimited growth.","United Kingdom","British philosopher, political economist, and civil servant.","John Stuart Mill (1806-73) was among the first economists to treat the environment as more than a unit of land or a means of production."
"Arthur C. Pigou","Individual","Introduced the concept of negative externalities, arguing for government intervention to address environmental harms.","United Kingdom","British economist, pioneer of welfare economics.","Later economist Arthur C. Pigou (1877-1959) argued that when the detrimental effects of an activity went unrecognised, then the government should intervene."
"International Monetary Fund","Organization","Established at the 1944 Bretton Woods conference to coordinate monetary policy and provide financial stability, shaping the global economic framework that later influences discussions on nature‑based accounting.","International","An international financial institution created to ensure post‑war peace and prosperity through economic cooperation.","The meeting led to the establishment of the IMF and the International Bank for Reconstruction and Development (now the World Bank)."
"Paley Commission","Organization","Provided a comprehensive assessment of natural‑resource usage and advocated for measured resource planning in the United States.","United States","A U.S. presidential commission chaired by William Paley that produced the five‑volume report "Resources for Freedom: Foundations for Growth and Security".","the Paley Commission, chaired by William Paley (1901-90), produced a five-volume report: Resources for Freedom: Foundations for Growth and Security."
"William Paley","Individual","Led the commission that highlighted unprecedented increases in natural‑resource consumption and argued for strategic planning.","United States","Chair of the Paley Commission and author of its landmark resource‑assessment report.","the Paley Commission, chaired by William Paley (1901-90), produced a five-volume report: Resources for Freedom: Foundations for Growth and Security."
"John Kenneth Galbraith","Individual","Critiqued the dominance of production‑centric measures of progress, laying intellectual groundwork for questioning growth‑only paradigms.","United States","Canadian‑American economist and author of *The Affluent Society* (1958).","In The Affluent Society (1958), the American economist John Kenneth Galbraith (1908-2006), reflecting on the continued focus on production as a measure of progress, observed:"
"Henry Fairfield Osborn Jr.","Individual","Raised early alarm about overexploitation of natural resources, contributing to the Malthusian discourse that fed later environmental movements.","United States","Conservationist and author of *Our Plundered Planet* (1948).","These included Henry Fairfield Osborn Jr's (1887-1969) Our Plundered Planet and William Vogt's (1902-68) Road to Survival, both published in 1948."
"William Vogt","Individual","Highlighted the ecological limits of unchecked population and resource growth, influencing early environmental advocacy.","United States","Ecologist and author of *Road to Survival* (1948).","These included Henry Fairfield Osborn Jr's (1887-1969) Our Plundered Planet and William Vogt's (1902-68) Road to Survival, both published in 1948."
"David Brower","Individual","Encouraged Paul Ehrlich to frame population issues as an environmental concern, linking demographic trends to the environmental movement.","United States","Executive Director of the Sierra Club (1969‑1973) and prominent environmental leader.","David Brower (1912-2000), Executive Director of the Sierra Club, suggested to biologist Paul R. Ehrlich (b. 1932) that he summarise in book form the argument that the population issue should be addressed by the environmental movement."
"Paul R. Ehrlich","Individual","Popularized the link between rapid population growth and environmental degradation, shaping public discourse on sustainability.","United States","Biologist and author of *The Population Bomb* (1968).","David Brower (1912-2000), Executive Director of the Sierra Club, suggested to biologist Paul R. Ehrlich (b. 1932) that he summarise in book form the argument that the population issue should be addressed by the environmental movement."
"Richard Nixon","Individual","Delivered a special message to Congress in 1969 highlighting concerns about population growth, signaling federal attention to demographic‑environmental issues.","United States","42nd President of the United States. President of the United States (1969‑1974).","US President Richard Nixon (1913-94) gave a special message to Congress on 'the problems of population growth'."
"Kenneth E. Boulding","Individual","Introduced the “Spaceship Earth” metaphor, challenging the notion of limitless economic growth and emphasizing finite planetary resources.","United Kingdom/United States","British‑American economist and author of the essay “The Economics of the Coming Spaceship Earth” (1966).","In his 1966 essay 'The Economics of the Coming Spaceship Earth', Kenneth E. Boulding (1910-93) challenged neoclassical economic ideas of an 'open' economic system without finite resources and a limited assimilative capacity to absorb waste."
"Paul Ehrlich","Individual","Co‑author of critiques of economic growth; helped formulate the IPAT equation linking population, affluence and technology to environmental impact.","United States","American biologist and author who co‑advocated the public service functions of the environment. American biologist and population scholar, prominent critic of growth‑centric development.","Ehrlich and Barry Commoner (b. 1917) became two of the most prominent critics of the focus on economic growth as a measure of progress."
"Barry Commoner","Individual","Critic of growth‑centric metrics; his work was debated by Ehrlich and Holdren in the development of the IPAT framework.","United States","American ecologist and environmental activist, known for linking ecological limits to social policy.","Ehrlich and Barry Commoner (b. 1917) became two of the most prominent critics of the focus on economic growth as a measure of progress."
"John P. Holdren","Individual","Collaborated with Ehrlich in critiquing Commoner’s emphasis on technology and contributed to the reformulation of the IPAT equation.","United States","American physicist and science advisor, specialist in energy and environmental policy.","Ehrlich and his colleague John P. Holdren (b. 1944) accused Commoner of placing too great an emphasis on 'faulty technology' and of underplaying the role of population and affluence."
"Robert F. Kennedy","Individual","Delivered a high‑profile speech in 1968 condemning gross national product as an inadequate measure of societal wellbeing.","United States","American senator and former U.S. Attorney General, noted for his advocacy on social justice and environmental issues.","In March 1968, Robert F. Kennedy (1925-68) delivered a campaign speech at the University of Kansas where he explained the shortcomings of using gross national product (GNP) to measure progress."
"Aurelio Peccei","Individual","Co‑organized the 1968 Rome meeting that led to the creation of the Club of Rome, a platform for interdisciplinary dialogue on resource consumption.","Italy","Italian industrialist and co‑founder of the Club of Rome, influential in global sustainability discourse.","In 1968, the industrialist Aurelio Peccei (1908-84) and Scottish scientist Alexander King (1909-2007) invited an international group of professionals from industry, academia and civil society to a villa in Rome."
"Alexander King","Individual","Co‑organized the 1968 Rome meeting that seeded the Club of Rome, fostering interdisciplinary research on global limits to growth.","United Kingdom","Scottish scientist and futurist, co‑founder of the Club of Rome.","In 1968, the industrialist Aurelio Peccei (1908-84) and Scottish scientist Alexander King (1909-2007) invited an international group of professionals from industry, academia and civil society to a villa in Rome."
"Club of Rome","Organization","Published *The Limits to Growth* (1972), a seminal report linking economic activity with environmental constraints and sparking worldwide debate on planetary boundaries.","Italy","International think‑tank founded in 1968 that studies global challenges and promotes sustainable development.","Following the meeting, the participants established the Club of Rome as a focal point for their shared concerns."
"Massachusetts Institute of Technology","Organization","Provided the scientific team that developed the first integrated global model used in *The Limits to Growth* report.","United States","Leading U.S. research university, home to a group of systems scientists who built early integrated global models.","The Club's first report, The Limits to Growth (1972), was underpinned by the work of a group of systems scientists at the Massachusetts Institute of Technology (MIT), who had developed the first integrated global model linking the world economy and the environment."
"Julian Simon","Individual","Prominent academic who publicly challenged the notion of physical limits to growth and engaged in a high‑profile wager with Ehrlich over metal prices.","United States","American economist known for his optimistic view of human ingenuity and resource abundance.","Julian Simon (1932-98) was among the most prominent academics to challenge the idea that there are physical limits to resources that must ultimately constrain economic growth."
"Kenneth Boulding","Individual","Made the resource limitations of the economic system understandable to the wider public, laying conceptual groundwork for ecological economics.","None","Economist who introduced the ‘spaceship Earth’ metaphor to illustrate resource limits.","Boulding's use of the spaceship Earth metaphor made the resource limitations of the economic system understandable to the wider public."
"Nicholas Georgescu‑Roegen","Individual","Challenged the dominance of price‑based solutions to environmental problems, arguing that values must precede prices.","United States","Economist and ecological thinker known for critiquing the reliance on purely economic methods for environmental policy. Mathematical economist known for applying the second law of thermodynamics to ec...","Georgescu‑Roegen was among those who challenged this emphasis on using economic methods to solve environmental policy questions:"
"Herman E. Daly","Individual","Observed Georgescu‑Roegen’s predictions and advanced the steady‑state economy concept as an alternative to conventional growth.","None","Ecological economist and proponent of the steady‑state economy.","As Herman E. Daly (b. 1938) later observed, Georgescu‑Roegen predicted that the need for biofuels would place land for energy crops in competition with land for food 'when most economists were talking about feeding the world with petroleum'."
"Ernst F. Schumacher","Individual","Advocated treating natural resources as capital and promoted ecologically efficient distribution of resources.","None","Economist and author of *Small is Beautiful* who championed appropriate technology.","This argument was shared by Ernst F. Schumacher (1911-77), who championed the use of appropriate technology in Small is Beautiful: A Study of Economics as if People Mattered (1973)."
"Marilyn Waring","Individual","Highlighted the need for alternative wellbeing metrics that value non‑market activities and environmental health.","None","Feminist economist known for critiquing GDP as a measure of wellbeing.","In the 1980s, the need to provide alternatives to the gross domestic product (GDP) was highlighted by feminist economist Marilyn Waring (b. 1952), who criticised the GDP as a system which 'counts oil spills and wars as contributors to economic growth, while child-rearing and housekeeping are deemed ..."
"John B. Cobb","Individual","Co‑constructed an index of sustainable economic welfare intended to replace GNP as a measure of economic wellbeing.","None","Theologian and economist who co‑authored an early sustainable‑welfare index.","Following this, Daly and John B. Cobb (b. 1925) constructed an index of sustainable economic welfare intended to replace GNP as a measure of economic wellbeing."
"Government of India","Government","Backed the World Bank’s 2010 natural‑wealth accounting initiative, supporting the development of alternative wellbeing metrics.","India","National government of the Republic of India.","In 2010 the World Bank launched a plan, backed by India, Mexico and a number of other countries, to create an accounting measure that puts the natural wealth of nations alongside financial measurements such as GDP."
"Government of Mexico","Government","Supported the World Bank’s 2010 plan to integrate natural wealth into national accounting systems.","Mexico","National government of the United Mexican States.","In 2010 the World Bank launched a plan, backed by India, Mexico and a number of other countries, to create an accounting measure that puts the natural wealth of nations alongside financial measurements such as GDP."
"United States Environmental Protection Agency (EPA)","Government","Uses cost‑benefit analysis extensively to evaluate environmental protection options and regulatory decisions.","United States","The federal agency responsible for environmental regulation in the United States.","Agencies responsible for environmental regulations such as the EPA in the USA have used cost‑benefit analysis extensively, but its application can be complex and controversial and is not always trusted by environmental campaigners or regulated industries."
"Roskill Commission","Organization","Applied social cost‑benefit analysis to justify a runway location, illustrating challenges of valuing noise pollution and other public environmental values.","United Kingdom","A UK commission that examined locations for a third runway at London Heathrow Airport in the early 1970s.","When the Roskill Commission proposed a location for a third runway in London in the early 1970s, it used social cost‑benefit analysis to support its case."
"John Holdren","Individual","Advocated for recognizing ecosystem functions as public services, influencing early ecosystem‑services discourse.","United States","American scientist and policy advisor who, together with Paul Ehrlich, promoted the concept of public service functions of the environment.","Holdren and Ehrlich advocated this idea and in an article for American Scientist described the 'public service functions of the environment'."
"Millennium Ecosystem Assessment","Organization","Provided a comprehensive, worldwide overview of ecosystem conditions and quantified the four categories of ecosystem services.","International","A global, UN‑sponsored scientific assessment (2001‑2005) of ecosystem changes and their impacts on human wellbeing.","The Millennium Ecosystem Assessment examined the consequences of ecosystem change on human wellbeing, and provided a global overview of conditions of the world's ecosystems and the services they provide to humanity."
"Massachusetts Institute of Technology (MIT)","Organization","Issued a 1970 report that identified nine environmental services, laying groundwork for the ecosystem‑services framework.","United States","A leading research university in the United States that produced an early report on environmental services.","An 1970 MIT report of the Study of Critical Environmental Problems, entitled Man's Impact on the Global Environment: Assessment and Recommendations for Action, described nine 'environmental services' that would decline if the functioning of ecosystems were damaged."
"Sir Nicholas Stern","Individual","Provided a high‑profile economic analysis that framed climate change as a massive market failure and advocated a near‑zero discount rate, shaping international debate on valuing the future and influencing climate policy discussions.","United Kingdom","British economist and author of the 2006 Stern Review on the economics of climate change.","In his review of the economics of climate change, Sir Nicholas Stern (b. 1946) described climate change as 'market failure on the greatest scale the world has seen'. The 2006 Stern Review is the most highprofile example of economic theory presenting the case for environmental action."
"William Nordhaus","Individual","Critiqued Stern’s low discount‑rate approach by using higher discount rates, arguing that early climate action may be less cost‑effective, thereby contributing to the scholarly debate on climate‑change economics.","United States","American economist known for his work on climate economics and the DICE integrated assessment model.","Some economists, such as William Nordhaus (b. 1941), use much higher discount rates that lead them to conclude that Stern's approach is inefficient because early action is more expensive than necessary."
"United Nations Environment Programme","Organization","Produced a 2010 report estimating the scale of environmental damage caused by listed companies, highlighting the economic magnitude of ecological liabilities.","International (headquartered in Kenya, secretariat in Nairobi; administrative office in Geneva, Switzerland)","UN agency that coordinates the UN’s environmental activities and assists developing countries in implementing environmentally sound policies.","In 2010, a UNEP report estimated that 3000 listed companies were responsible for US$2.15 trillion worth of environmental damage in 2008, equivalent to 7 per cent off their combined revenues."
"Elinor Ostrom","Individual","Criticised Hardin’s arguments and advocated for durable, cooperative institutions governed by resource users themselves.","USA","Nobel Prize‑winning economist known for her work on the governance of common‑pool resources.","The Nobel Prize-winning economist Elinor Ostrom (b. 1933) has argued that Hardin's work has been used to rationalise central government control of all common pool resources such as fisheries, groundwater basins and irrigation systems, and to paint a disempowering and pessimistic picture of the human..."
"Evo Morales","Individual","His political rise was propelled by protests against water privatisation in Cochabamba, linking community mobilisation to national leadership.","Bolivia","Indigenous peoples’ leader who later became President of Bolivia.","When a privately run water company increased the price of water and sanitation in the Bolivian town of Cochabamba, this set in motion a chain of protests against privatisation and a political upheaval that swept the indigenous people's leader Evo Morales (b. 1959) to electoral victory in 2003."
"Franklin D. Roosevelt","Individual","Implemented the New Deal, a series of economic programmes that serve as a historical reference for later green recovery initiatives.","USA","32nd President of the United States (1933‑1945).","US President Franklin D. Roosevelt's (1882-1945) response to the 1929 Great Depression was a series of economic programmes called the New Deal, which focused on relief, recovery and reform."
"Gordon Brown","Individual","Hosted the G20 London Summit in 2009 to discuss the international response to the financial crisis and the Global Green New Deal.","United Kingdom","UK Labour Party Prime Minister (2007‑2010).","In April 2009, UK's then Labour Prime Minister Gordon Brown (b. 1951) held the G20 London Summit to discuss the international response to the financial crisis."
"G20","Coalition","Issued communiqués pledging clean‑technology transitions, climate action, and support for green fiscal spending as part of the GGND response.","International","Group of the world’s major economies that coordinates policy on global economic issues.","A G20 communiqué from the meeting stated 'We will make the transition towards clean, innovative, resource efficient, low carbon technologies and infrastructure [...] We will identify and work together on further measures to build sustainable economies.'"
"G20 governments","Coalition","Adopted policies with a green fiscal component to boost demand and growth during the 2009 recession.","None","The group of governments that are members of the G20, coordinating macro‑economic policies.","some G20 governments adopted policies to boost aggregate demand and growth, which included a sizeable green fiscal component."
"South Korea","Government","Allocated 5 % of its fiscal spending to a green stimulus, aiming for long‑term competitiveness in clean technology and reduced dependence on foreign oil.","South Korea","The national government of the Republic of Korea.","Only China (3 per cent) and South Korea (5 per cent) devoted a sizeable proportion of fiscal spending to a green stimulus..."
"Edward B. Barbier","Individual","Critiqued the G20 for failing to launch a worldwide green recovery and called for measures to curb fossil‑fuel subsidies and improve environmental pricing.","None","Consultant on the Green Growth and Development (GGND) agenda.","Edward B. Barbier, a consultant on the GGND, has argued that the G20 failed to instigate a worldwide green recovery, and called for further measures to reduce market distortions such as the fossil fuel subsidies and develop effective environmental pricing policies and regulations."
"Pavan Sukhdev","Individual","Described global fossil‑fuel subsidies as a ‘gross misallocation of capital’ and promoted investment in green sectors.","None","Head of UNEP’s green economy work.","Pavan Sukhdev, head of UNEP's green economy work, described existing economic measures, such as the US$600 billion a year spent on global fossil fuel subsidies, as a 'gross misallocation of capital'."
"post‑war Labour government","Government","Maintained food and resource rationing after the war, shaping public attitudes toward scarcity and resource efficiency, which are referenced in discussions of decoupling and sustainable consumption.","United Kingdom","The United Kingdom's Labour administration that governed in the immediate post‑World War II period.","As European countries began to rebuild their economies, the post‑war Labour government continued rationing, and it was not until July 1954 that all food rationing in the UK came to an end."
"US Marshall Plan","Government","Introduced American economic models, reduced trade barriers, and helped rebuild European economies, thereby influencing the post‑war growth trajectory that the text critiques in relation to consumerism and ecological limits.","United States","A United States‑led program (officially the European Recovery Program) that provided economic aid to rebuild war‑torn Europe after World II.","In order to modernise industrial and business practices in war‑torn Europe, the US Marshall Plan introduced American economic models to reduce trade barriers and rebuild and create a strong economic foundation."
"Ralph Nader","Individual","Catalyzed consumer advocacy and influenced government regulation on vehicle safety and emissions, contributing to the emergence of environmental governance around automobiles.","United States","Author of *Unsafe at Any Speed*, which examined the car industry's reluctance to improve vehicle pollution and safety.","In 1965, Ralph Nader (b. 1934) published Unsafe at Any Speed, which examined the reluctance of the car industry to improve both vehicle pollution and safety."
"Victor Lebow","Individual","Highlighted the influence of television advertising on consumer culture, helping to raise awareness of consumption‑driven environmental impacts.","None","Marketing consultant who wrote about television as a "powerful weapon" for producers.","Writing in the 1955 Journal of Retailing, marketing consultant Victor Lebow acknowledged that television was a 'powerful weapon' for producers."
