Title,Year,Type,Significance,Description,Supporting_Text
"Greenpeace occupation of the Brent Spar oil‑storage buoy to stop deep‑sea disposal",1995,"Movement",,"Greenpeace occupied the Brent Spar buoy in the North Sea to prevent its deep‑sea disposal, generating widespread media coverage and prompting a Europe‑wide boycott of Shell.","One of the most high‑profile uses of science in an environmental campaign was deployed by Greenpeace to stop the deep‑sea disposal of the Brent Spar oil‑storage buoy in the North Sea in 1995. Greenpeace had a long‑standing opposition to deep‑sea dumping and quickly acted to occupy the buoy before it..."
"Greenpeace admission of measurement error on Brent Spar oil content",1995,"Other",,"After mistakenly sampling oil from the wrong part of the Brent Spar buoy, Greenpeace admitted the error, leading to criticism from the British government and the media and damaging trust in the enviro...","a couple of months later it emerged that Greenpeace had made a mistake: it had sampled oil from the wrong part of the buoy and produced a false measurement. When Greenpeace admitted its mistake it was criticised by the British government and the media."
"Destruction of GM crop trials by UK protesters",2000,"Process",,"Since 2000, protesters in the United Kingdom have found and destroyed every attempted GM crop trial, hindering scientific verification of GM crop safety.","UK scientists are no nearer to proving that GM crops are safe as protesters have found and destroyed every crop trial attempted since 2000."
"Use of scientific evidence by professional campaign groups in environmental advocacy",None,"Process",,"From the late 1960s onward, professional campaign groups employed scientists to study environmental problems and used the resulting evidence in lawsuits, petitions to governments, and public campaigns...","From the late 1960s onwards, professional campaign groups employed scientists to study and diagnose environmental problems, utilising the evidence in lawsuits, petitions to government and public campaigns."
"Attacks on scientists in climate change debate",None,"Process",,"In recent years, scientists on both sides of the climate‑change debate have faced attacks, reflecting growing mistrust in scientific authority.","In recent years this issue has come to the fore in the shape of attacks on scientists on both sides of the climate change debate."
"Wall Street Journal publication of claims about IPCC Second Assessment Report",1995,"Publication",,"In 1995 the Wall Street Journal published claims that editorial changes to the second IPCC report violated IPCC rules of procedure and would deceive policy makers and the public into believing that sc...","In 1995 the Wall Street Journal picked up and published claims that editorial changes to the second report on the science of climate change were in violation of IPCC rules of procedure and would 'deceive policy makers and the public into believing that the scientific evidence shows human activities ..."
"Exchange of letters between Exxon Mobil and the Royal Society",2006,"Other",,"Direct conflict broke out in 2006 when Exxon Mobil, a member of the Global Climate Coalition, was challenged in an exchange of letters that became public with the Royal Society, the world’s oldest sci...","Direct conflict broke out in 2006 when Exxon Mobil, the world's richest company and a member of the Global Climate Coalition, was challenged in an exchange of letters that became public with the Royal Society, the world's oldest scientific academy."
"Hack and public release of CRU emails",2009,"Other",,"Approximately 1,000 emails from the Climatic Research Unit at the University of East Anglia were hacked and posted on the internet in November 2009, sparking widespread media coverage and scrutiny of ...","The challenge to climate science reached a new peak after approximately 1000 emails from the Climatic Research Unit (CRU) at the University of East Anglia (UEA) were hacked and posted on the internet in November 2009."
"Launch of fourth independent review into the IPCC",2010,"Other",,"A fourth review was launched into the IPCC a few months after the CRU email release, prompted by the exposure of a mistake in the fourth assessment regarding glacial melt.","A fourth review was launched into the IPCC a few months later, following exposure of a mistake in the fourth assessment regarding glacial melt."
"Global Climate Coalition campaign challenging IPCC scientific certainty",None,"Process",,"For much of the 1990s the Global Climate Coalition, an American industrial grouping formed shortly after the IPCC, mounted a sustained campaign challenging the levels of scientific certainty presented...","For much of the 1990s, the Global Climate Coalition, an American industrial grouping formed shortly after the IPCC, challenged the levels of scientific certainty set out in IPCC publications."
"Royal Society attempts to produce a plain‑English guide to climate change and revises wording after member complaints",None,"Publication",,"The Royal Society tried to create a plain‑English guide on climate change, but was compelled to alter its wording in response to objections from some of its own members.","when the Royal Society attempted to write a plain English guide to climate change, it was forced to change its wording following complaints by some of its own members."
"Publication of The Wealth of Nations",1776,"Publication",,"Adam Smith’s seminal work that identified land rent, wages, and profits as the three original sources of revenue, emphasizing the stability of land rent as a source of public revenue.","In The Wealth of Nations Adam Smith (1723-90) described rent from the use of land, the wages of labour and profits of stock as 'the three original sources of all revenue as well as of all exchangeable value.'"
"Publication of An Essay on the Principle of Population",1798,"Publication",,"Thomas Malthus argued that population growth, initially driven by surplus food production, would eventually be constrained by limits to productive land, leading to potential starvation unless populati...","as it Affects the Future Improvement of Society (1798), Malthus explained that population growth, driven initially by surplus food production, would eventually be constrained by limits to productive land and a resultant shortage of food."
"Publication of The Coal Question",1865,"Publication",,"William Stanley Jevons warned that improvements in fuel efficiency tend to increase overall fuel consumption, highlighting the paradox of resource use and the risk of coal exhaustion.","In 1865, William Stanley Jevons (1835-82) published The Coal Question: An Inquiry Concerning the Progress of the Nation, and the Probable Exhaustion of our Coal-mines, in which he argued that improvements in fuel efficiency tended to increase, rather than decrease, fuel use."
"Publication of Principles of Political Economy",1862,"Publication",,"John Stuart Mill presented the concept of a stationary‑state economy and warned against unlimited economic growth, emphasizing the ecological damage of relentless agricultural expansion.","In 1862, he published the Principles of Political Economy with some of their Applications to Social Philosophy, in which he championed the 'stationary state economy' and warned against the drive for unlimited economic growth."
"Bretton Woods Conference",1944,"Conference",,"Forty‑four countries gathered at Bretton Woods, New Hampshire, to ensure post‑war peace and prosperity through economic cooperation; the meeting led to the creation of the International Monetary Fund ...","In 1944, against the backdrop of the Second World War, forty-four countries gathered together at Bretton Woods in the US state of New Hampshire. The aim of the conference was to ensure post-war peace and prosperity through economic cooperation. The meeting led to the establishment of the IMF and the..."
"Marshall Plan (U.S. European Recovery Program)",None,"Process",,"The U.S. European Recovery Program, known as the Marshall Plan, ran from 1947 to 1951, providing aid to rebuild war‑devastated Europe, curb the spread of communism, and stabilise the international ord...","The US European Recovery Program, also known as the Marshall Plan, ran from 1947 to 1951 and provided aid to repair the devastation of major war areas and begin economic reconstruction."
"Establishment of Presidential Commission on Future Supply of Minerals, Energy and Agricultural Resources",1951,"Other",,"President Harry S. Truman created a presidential commission to examine the future supply of minerals, energy, and agricultural resources in the United States.","As early as 1951, President Harry S. Truman (1884-1972) established a presidential commission to examine the future supply of minerals, energy and agricultural resources."
"Publication of ""Resources for Freedom: Foundations for Growth and Security""",1952,"Publication",,"The Paley Commission, chaired by William Paley, produced a five‑volume report titled *Resources for Freedom: Foundations for Growth and Security*, documenting unprecedented post‑World War I natural‑re...","The following year the Paley Commission, chaired by William Paley (1901-90), produced a five-volume report: Resources for Freedom: Foundations for Growth and Security."
"Publication of ""Our Plundered Planet""",1948,"Publication",,"Henry Fairfield Osborn Jr. authored *Our Plundered Planet*, a book warning of environmental degradation and over‑exploitation of natural resources.","These included Henry Fairfield Osborn Jr's (1887-1969) Our Plundered Planet ... both published in 1948."
"Publication of ""Road to Survival""",1948,"Publication",,"William Vogt authored *Road to Survival*, a book emphasizing the dangers of overpopulation and its impact on the planet’s ecological balance.","These included ... William Vogt's (1902-68) Road to Survival, both published in 1948."
"Publication of ""The Population Bomb""",1968,"Publication",,"Paul R. Ehrlich published *The Population Bomb*, linking rapid human population growth to the Earth’s limited capacity to sustain humanity.","Ehrlich published The Population Bomb in 1968, and directly linked population growth to the Earth's capacity to sustain humankind."
"President Nixon's Special Message to Congress on Population Growth",1969,"Other",,"U.S. President Richard Nixon delivered a special message to Congress addressing the problems associated with rapid population growth.","in 1969, US President Richard Nixon (1913-94) gave a special message to Congress on 'the problems of population growth'."
"Publication of ""The Economics of the Coming Spaceship Earth"" (essay)",1966,"Publication",,"Kenneth E. Boulding published the essay *The Economics of the Coming Spaceship Earth*, critiquing the notion of an open economy without finite resources and proposing a closed, ‘spaceship’ economy mod...","In his 1966 essay 'The Economics of the Coming Spaceship Earth', Kenneth E. Boulding (1910-93) challenged neoclassical economic ideas of an 'open' economic system without finite resources and a limited assimilative capacity to absorb waste."
"Publication of ""The Affluent Society""",1958,"Publication",,"John Kenneth Galbraith released *The Affluent Society*, critiquing the post‑war focus on production as the primary measure of progress and quality of life.","In The Affluent Society (1958), the American economist John Kenneth Galbraith (1908-2006), reflecting on the continued focus on production as a measure of progress, observed:"
"Robert F. Kennedy campaign speech at the University of Kansas",1968,"Other",,"Robert F. Kennedy delivered a campaign speech criticizing the use of gross national product (GNP) as a measure of national progress, arguing that it ignores health, education, and environmental wellbe...","In March 1968, Robert F. Kennedy (1925-68) delivered a campaign speech at the University of Kansas where he explained the shortcomings of using gross national product (GNP) to measure progress:"
"Establishment of the Club of Rome",1968,"Organization",,"A meeting of international professionals in a villa in Rome led by Aurelio Peccei and Alexander King resulted in the creation of the Club of Rome, a think‑tank focused on resource consumption and glob...","In 1968, the industrialist Aurelio Peccei (1908-84) and Scottish scientist Alexander King (1909-2007) invited an international group of professionals from industry, academia and civil society to a villa in Rome. ... Following the meeting, the participants established the Club of Rome as a focal poin..."
"Publication of The Limits to Growth",1972,"Publication",,"The Club of Rome released its first report, ""The Limits to Growth,"" presenting scenarios from an integrated global model linking world economy and environment, highlighting potential future limits t...","The Club's first report, The Limits to Growth (1972), was underpinned by the work of a group of systems scientists at the Massachusetts Institute of Technology (MIT), who had developed the first integrated global model linking the world economy and the environment."
"Publication of The Ultimate Resource",1981,"Publication",,"Julian Simon published "The Ultimate Resource," arguing that human ingenuity and substitution would overcome physical resource limits, challenging the limits‑to‑growth perspective.","Julian Simon (1932-98) was among the most prominent academics to challenge the idea that there are physical limits to resources that must ultimately constrain economic growth. His arguments were summarised in The Ultimate Resource (1981)."
"Ehrlich–Simon metal price wager",1980,"Other",,"Paul R. Ehrlich and Julian Simon made a public bet on the price trends of five metals from 1980 to 1990; Ehrlich predicted rising prices, Simon predicted falling prices, and Simon won the wager.","Simon also entered a wager with Ehrlich regarding the prices of five metals. Ehrlich predicted prices of each metal would rise between 1980 and 1990, demonstrating their growing scarcity. Simon predicted they would fall as technology and substitution would keep prices low. Simon won the bet..."
"Publication of The Entropy Law and the Economic Process",1971,"Publication",,"Nicholas Georgescu‑Roegen published his seminal work *The Entropy Law and the Economic Process*, introducing the idea that the use of energy reduces the amount of usable energy available to society an...","In The Entropy Law and the Economic Process (1971), Georgescu-Roegen explained that whenever energy is used, the amount of usable energy available to society declines."
"Publication of Small is Beautiful: A Study of Economics as if People Mattered",1973,"Publication",,"Ernst F. Schumacher published *Small is Beautiful*, championing appropriate technology and arguing that natural resources should be treated as capital rather than as expandable income.","Ernst F. Schumacher (1911-77), who championed the use of appropriate technology in Small is Beautiful: A Study of Economics as if People Mattered (1973)."
"Launch of World Bank Natural Wealth Accounting Plan",2010,"Policy",,"The World Bank, supported by India, Mexico and several other countries, launched a plan to create an accounting framework that places the natural wealth of nations alongside traditional financial meas...","In 2010 the World Bank launched a plan, backed by India, Mexico and a number of other countries, to create an accounting measure that puts the natural wealth of nations alongside financial measurements such as GDP."
"Beaver Committee cost assessment of air pollution",1950s,"Other",,"An early attempt at costing the damage caused by air pollution was made by the Beaver Committee, estimating economic losses of hundreds of millions of pounds from infrastructure, buildings, laundry, a...","An early attempt at costing the damage caused by air pollution was made by the Beaver Committee in the mid-1950s (see Chapter 4)."
"Roskill Commission proposal for third runway in London",1970s,"Other",,"The Roskill Commission proposed a location for a third runway in London and used social cost‑benefit analysis to support its case, with noise pollution as a major contested issue.","When the Roskill Commission proposed a location for a third runway in London in the early 1970s, it used social cost‑benefit analysis to support its case."
"Publication of MIT report ""Man's Impact on the Global Environment""",1970,"Publication",,"A 1970 MIT report of the Study of Critical Environmental Problems described nine 'environmental services' that would decline if ecosystem functioning were damaged, laying groundwork for the ecosystem‑...","An 1970 MIT report of the Study of Critical Environmental Problems, entitled Man's Impact on the Global Environment: Assessment and Recommendations for Action, described nine 'environmental services' that would decline if the functioning of ecosystems were damaged."
"Millennium Ecosystem Assessment",2001‑2005,"Process",,"A global, multi‑year assessment that examined the consequences of ecosystem change on human wellbeing, providing an overview of ecosystem conditions and defining four categories of ecosystem services.","It was then used as a central organising concept for the Millennium Ecosystem Assessment, undertaken between 2001 and 2005. The Millennium Ecosystem Assessment examined the consequences of ecosystem change on human wellbeing, and provided a global overview of conditions of the world's ecosystems and..."
"Robert Costanza et al. estimate of global ecosystem services value",1980s,"Research",,"In the late 1980s, Robert Costanza and colleagues attempted to estimate the monetary value of ecosystem services provided by the Earth's biosphere, arriving at a range of US$16‑54 trillion per year.","However, in the late 1980s Robert Costanza and colleagues attempted to estimate the value of ecosystem services provided by the Earth's biosphere. They estimated the value of the services provided by the ecosystem to humanity at between US$16‑54 trillion per year."
"Development and application of ecosystem services concept",1980s‑1990s,"Process",,"Throughout the 1980s and 1990s the ecosystem‑services idea was further developed and applied to biodiversity assessments, expanding its use in environmental policy and research.","Throughout the 1980s and 1990s, the idea was developed further, applied to biodiversity assessments, and then used as a central organising concept for the Millennium Ecosystem Assessment."
"Publication of the Stern Review",2006,"Publication",,"The 2006 Stern Review presented a high‑profile economic case for environmental action, arguing that the cost of inaction on climate change would exceed the cost of mitigation and highlighting the impo...","The 2006 Stern Review is the most highprofile example of economic theory presenting the case for environmental action."
"Publication of UNEP report on corporate environmental damage",2010,"Publication",,"A United Nations Environment Programme (UNEP) report estimated that 3,000 listed companies were responsible for US$2.15 trillion worth of environmental damage in 2008, with greenhouse‑gas emissions ac...","In 2010, a UNEP report estimated that 3000 listed companies were responsible for US$2.15 trillion worth of environmental damage in 2008, equivalent to 7 per cent off their combined revenues."
"Deepwater Horizon oil spill",2010,"Other",,"The Deepwater Horizon oil spill in the Gulf of Mexico caused extensive environmental damage; BP incurred substantial cleanup costs, illustrating the real‑world economic impact of ecological liabilitie...","The costs incurred by the global oil and gas company BP in cleaning up the 2010 Deepwater Horizon oil spill in the Gulf of Mexico illustrate the real-world economic impact of ecological liabilities."
"Publication of ""The Tragedy of the Commons""",1967,"Publication",,"Garrett Hardin introduced the concept of the ""tragedy of the commons,"" using the analogy of shared grazing land to explain how unregulated common resources lead to over‑use and environmental degrada...","In 1967, Garrett Hardin (1915-2003) developed the notion of the 'tragedy of the commons' where he used the analogy of common grazing land to illustrate that sharing common resources leads to over-use."
"International Conference on Water and the Environment",1992,"Conference",,"A 1992 conference where participants agreed that water has an economic value in all its competing uses and should be recognised as an economic good, supporting the ecosystem services approach and wate...","In 1992, the International Conference on Water and the Environment agreed that 'water has an economic value in all its competing uses and should be recognised as an economic good'."
"Electoral victory of Evo Morales",2003,"Other",,"Following protests against water privatisation in Cochabamba, a political upheaval propelled indigenous leader Evo Morales to win the national election in Bolivia.","When a privately run water company increased the price of water and sanitation in the Bolivian town of Cochabamba, this set in motion a chain of protests against privatisation and a political upheaval that swept the indigenous people's leader Evo Morales (b. 1959) to electoral victory in 2003."
"Global financial crisis",None,"Other",,"The worldwide financial crisis of 2008‑2009 caused a contraction in global per‑capita income and a decline in world trade volumes, creating a context for environmental advocacy of a green recovery.","The 2008-09 global financial crisis led to global per capita income contracting and the volume of world trade declining."
"Launch of Global Green New Deal (GGND) initiative",2008,"Policy",,"UNEP launched the Global Green New Deal in December 2008, proposing an economic stimulus package aimed at reviving the global economy, creating jobs, reducing carbon dependency, and ending extreme pov...","Following in his footsteps, UNEP instigated the Global Green New Deal (GGND) initiative in December 2008."
"G20 London Summit",2009,"Conference",,"The United Kingdom's Labour Prime Minister Gordon Brown convened the G20 leaders in London to discuss the international response to the financial crisis and to commit to a transition toward clean, inn...","In April 2009, UK's then Labour Prime Minister Gordon Brown (b. 1951) held the G20 London Summit to discuss the international response to the financial crisis. A G20 communiqué from the meeting stated 'We will make the transition towards clean, innovative, resource efficient, low carbon technologies..."
"G20 Pittsburgh Summit",2009,"Conference",,"At the September 2009 summit in Pittsburgh, the G20 pledged to enhance global climate‑change initiatives, improve energy security, phase out fossil‑fuel subsidies and reduce the vulnerability of the w...","At the September 2009 Pittsburgh Summit, the G20 further pledged to enhance global climate change initiatives, improve energy security and phase out fossil fuel subsidies as well as reduce the vulnerability of the world's poor."
"Launch of the UK Green Economy Budget",2009,"Policy",,"The United Kingdom allocated roughly 11 % of its US$3.9 billion fiscal stimulus to green investments and introduced a ‘Green economy’ budget in April 2009, targeting low‑carbon projects intended to cr...","The UK devoted approximately 11 per cent of its US$3.9 billion fiscal stimulus to green investments as well as launching a 'Green economy' budget in April 2009, which included a range of low-carbon investments aimed at creating 400,000 new jobs over an eight-year period."
"Adoption of the American Recovery and Reinvestment Act",2009,"Policy",,"The United States enacted a US$78.5 billion recovery package in February 2009 that incorporated measures to retrofit buildings, expand mass transit, freight rail, renewable energy and to build a smart...","In February 2009, the USA adopted a US$78.5 billion American Recovery and Reinvestment Act, which included measures to retrofit buildings and expand mass transit, freight rail and renewable energy as well as construct a 'smart' electrical grid transmission system."
"Publication of ""Towards a Green Economy: Pathways to Sustainable Development and Poverty Eradication""",2011,"Publication",,"UNEP released a report in February 2011 advocating green investment worldwide, linking green economies to poverty eradication and outlining investment recommendations across ten key sectors.","In February 2011, UNEP published Towards a Green Economy: Pathways to Sustainable Development and Poverty Eradication, which further advocated green investment on a global scale."
"G20 Green Stimulus Spending During the Recession",None,"Process",,"Throughout the global recession, G20 members collectively spent over US$520 billion on green stimulus measures, representing 16 % of all fiscal spending and 0.7 % of G20 GDP, though falling short of t...","During the recession, members of the G20 spent over US$520 billion on a green stimulus. The stimulus comprised 16 per cent of all fiscal spending and 0.7 per cent of the G20 GDP, falling short of the 1 per cent GGND recommendation."
"Publication of *Prosperity Without Growth*",2009,"Publication",,"Tim Jackson’s book argues for a different kind of economy that allows human flourishing within ecological limits, critiquing growth‑driven consumerism and calling for a transition to clean, renewable ...","In Prosperity Without Growth (2009), Tim Jackson argues that a different kind of economy is essential for a different kind of prosperity - one where human beings can flourish within the ecological limits of a finite planet."
"Rio+20 United Nations Conference on Sustainable Development",2012,"Conference",,"The international community’s attention turns to the Rio+20 summit, a high‑level conference that focuses on integrating green‑economy strategies with poverty‑reduction goals.","as the international community turns its attention to Rio+20."
"End of food rationing in the United Kingdom",1954,"Policy",,"All food rationing in the UK was terminated, marking the end of wartime and post‑war rationing policies.","it was not until July 1954 that all food rationing in the UK came to an end."
"Opening of the Preston by‑pass",1958,"Infrastructure",,"The Preston by‑pass was opened, inaugurating the ‘motorway age’ in Britain.","the 'motorway age' was born when the Preston by‑pass was opened in December 1958"
"Opening of the M1 motorway",1959,"Infrastructure",,"The M1, the first long stretch of inter‑urban motorway in the UK, was opened, further expanding the national road network.","followed in November 1959 by the M1, the first long stretch of inter‑urban motorway."
"Publication of *Unsafe at Any Speed*",1965,"Publication",,"Ralph Nader published a book exposing the automobile industry's resistance to improving vehicle pollution and safety, sparking a new wave of consumer advocacy.","In 1965, Ralph Nader (b. 1934) published Unsafe at Any Speed, which examined the reluctance of the car industry to improve both vehicle pollution and safety."
"Launch of ITV, the first independent television station in the UK",1955,"Media launch",,"ITV began broadcasting, ending the BBC's monopoly and introducing commercial television advertising to British audiences.","Two years later, the BBC's monopoly of television came to an end when the first independent television station, ITV, went on air."
"Coronation of Queen Elizabeth II",1953,"Ceremony",,"The coronation ceremony of Queen Elizabeth II took place, prompting many British families to purchase their first television sets.","In 1953 many families in the UK bought their first television for the coronation of Queen Elizabeth II."
"Publication of ""The Affluent Society""",1956,"Publication",,"Economist J. K. Galbraith published his book *The Affluent Society*, identifying the imbalance between newly‑found private wealth and its environmental effects.","The economist J. K. Galbraith (1908-2006) eloquently identified the imbalance between the new‑found private wealth and its environmental effects in his book The Affluent Society (1956)."
"Cuyahoga River oil slick fire (media coverage)",1969,"Event",,"Television coverage of the 1969 oil slick fire on the Cuyahoga River highlighted the human impact on the environment and helped raise public awareness of pollution.","Coverage of the 1969 oil slick fire on the Cuyahoga River ... were key moments in the growing media coverage of the human impact on the environment."
"Santa Barbara Channel oil spill (media coverage)",1969,"Event",,"Media reporting on the Santa Barbara Channel oil spill contributed to growing public concern about environmental damage caused by industrial accidents.","... and the Santa Barbara Channel oil spill were key moments in the growing media coverage of the human impact on the environment."
"Capture of the first Earthrise image by Apollo 8 crew",1968,"Event",,"On Christmas Eve, 24 December 1968, the Apollo 8 crew photographed Earth rising over the lunar landscape, creating the iconic “Earthrise” image that later influenced environmental consciousness.","The first pictures of Earth from space were actually taken by the crew of Apollo 8 eight months earlier, on Christmas Eve in December 1968... The first image of Earth rising in the vast darkness of space over a lunar landscape became an iconic picture. ... the image became known as 'Earthrise'."
"Apollo 11 Moon landing",1969,"Event",,"On 20 July 1969 the US lunar module Eagle landed on the Moon; extensive television coverage and the iconic images of Earth from space helped bring modern environmental concepts into the mainstream.","What had been a dream for many people, ... became a reality on 20 July 1969 when the US lunar module Eagle successfully landed on the moon's surface. ... the extensive television coverage of humanity's first mission to land on the moon, and the images of planet Earth from space, also helped to bring..."
"Proposal of the first Earth Day by Senator Gaylord Nelson",1970,"Event",,"On 22 April 1970 US Senator Gaylord Nelson proposed the first Earth Day, which was marked by a nationwide teach‑in involving schools, colleges, universities and community groups, and attracted an esti...","A year after the moon landing, US senator Gaylord Nelson (1916-2005) proposed the first Earth Day on 22 April 1970. The day was marked by a national environment teach‑in led by schools, colleges, universities and community groups. Media coverage included a primetime CBS News Special Report called Ea..."
"Broadcast of CBS News Special Report ""Earth Day: A Question of Survival""",1970,"Publication",,"A primetime CBS News special report aired during the first Earth Day, focusing on the survival of the planet and highlighting environmental challenges.","Media coverage included a primetime CBS News Special Report called Earth Day: A Question of Survival."
"Founding of Keep America Beautiful",1953,"Organization",,"Keep America Beautiful (KAB) was founded by a group of US corporate and civic leaders to promote and develop a national cleanliness ethic in response to the growing problem of litter.","KAB was founded in 1953 by a group of US corporate and civic leaders to promote and develop a national cleanliness ethic in response to the growing problem of litter."
"First public service announcement on litter prevention by Keep America Beautiful",1956,"Publication",,"Keep America Beautiful produced its first public service announcement aimed at preventing litter.","in 1956 it produced its first public service announcement on litter prevention."
"Earth Day campaign (1970)",1970,"Movement",,"The Earth Day campaign highlighted the need for individuals and communities to protect the environment.","By 1970, the Earth Day campaign was again highlighting the need for individuals and communities to do their bit to protect the environment."
"Launch of the 'Crying Indian' public announcement campaign",1971,"Other",,"Keep America Beautiful launched the iconic 'Crying Indian' TV advert to promote personal environmental responsibility.","In 1971, Keep America Beautiful (KAB) launched the 'Crying Indian' public announcement campaign, which was to become an iconic symbol of personal environmental responsibility."
"Adoption of Oregon Bottle Bill",1971,"Policy",,"The State of Oregon passed a landmark Bottle Bill requiring a five‑cent deposit on beer and soft‑drink containers to reduce litter and conserve resources.","in 1971 the State of Oregon's landmark Bottle Bill became law in spite of intense lobbying by container and beverage industries."
"Proposal of California Bottle Bill",1974,"Policy",,"The State of California proposed a bottle‑deposit bill similar to Oregon’s, which faced public opposition from Keep America Beautiful.","In 1974, the State of California proposed a similar bill but KAB publicly opposed it"
"Launch of Clean Community System",1975,"Other",,"Keep America Beautiful introduced the Clean Community System, emphasizing street cleaning and other litter‑control activities as an alternative to bottle‑deposit legislation.","and a year later launched the Clean Community System as an alternative that placed an emphasis on street cleaning and other litter-control activities."
"Materials recovery program launched in Woodbury, New Jersey",1970,"Program",,"Woodbury became the first U.S. city to begin a materials‑recovery (recycling) program, led by a local community organization.","In November 1970, Woodbury, New Jersey was the first US city to begin materials recovery, spearheaded by an environmentally concerned community organisation."
"Ecology Center recycling demonstration project in Berkeley",1973,"Program",,"The Ecology Center launched a newspaper‑collection recycling demonstration in Berkeley, which served as a model for municipal recycling programmes.","In 1973, the Ecology Center, a US action-orientated organisation, launched a recycling demonstration project in Berkeley, California collecting newspapers, which became a model for other municipal recycling programmes."
"Installation of UK's first bottle bank at Tesco, Barnsley",1977,"Other",,"The UK's first bottle bank was installed in the car park of a Tesco supermarket in Barnsley, South Yorkshire, introduced by Stanley Race to promote glass recycling.","In August 1977, the UK's first bottle bank was sited in the car park of the Tesco supermarket in Barnsley, South Yorkshire. The bottle bank was introduced by Stanley Race, then president of the Glass Manufacturers' Federation, with the aim of convincing local authorities that such schemes could be e..."
"1973 OPEC oil export embargo",1973,"Other",,"Major Arab oil‑producing states imposed an oil export embargo through OPEC, causing a hike in oil prices and an oil crisis that spurred national debates on energy security in the UK.","In 1973, an oil export embargo of the Organization of the Petroleum Exporting Countries (OPEC) by major Arab oil-producing states caused a hike in the price of oil, leading an oil crisis."
"Publication of The Aerosol Connection pamphlet",1986,"Publication",,"Friends of the Earth (FoE) in the UK published a pamphlet titled “The Aerosol Connection” listing CFC‑free aerosols and launching a publicity campaign encouraging consumers to choose them.","In 1986, the UK FoE published a pamphlet, The Aerosol Connection, detailing a list of aerosols that were CFC‑free."
"Launch of FoE aerosol boycott campaign",1989,"Movement",,"Friends of the Earth planned to boycott best‑selling CFC‑based aerosols; the boycott was launched three days after the eight largest aerosol companies decided to phase out all CFCs by the end of 1989.","When this approach failed to persuade aerosol manufacturers to take action, FoE planned to boycott all the best‑selling CFC‑based aerosols. The eight largest aerosol companies took the decision to phase out all CFCs by the end of 1989, three days before the boycott campaign was launched."
"Publication of The Green Consumer Guide",1988,"Publication",,"John Elkington and Julia Hailes co‑authored and published “The Green Consumer Guide”, the first book focusing on green consumer choices, selling over one million copies.","In 1988, John Elkington (b. 1949) and Julia Hailes (b. 1961) published The Green Consumer Guide, which reflected the growing interest in green consumerism and further encouraged individuals who wanted to use their purchasing power to buy the greenest products."
"Launch of six new British ethical investment funds",1987,"Other",,"A boom in ethical investment in the late 1980s led to the creation and launch of six new ethical funds in Britain.","In 1987 a boom in ethical investment saw the launch of six new British ethical funds."
"1989 American survey on environmental concerns of product purchases",1989,"Research",,"A survey of Americans found that 89 % were concerned about the environmental impacts of the products they bought and 77 % were influenced by a company's environmental reputation.","A 1989 survey of Americans found that 89 per cent were concerned about the environmental impacts of the products they bought, while 77 per cent were influenced by a company's environmental reputation."
"Organised consumer action against McDonald's",1988,"Movement",,"US environmental groups EDF, Earth Action Network and Kids Against Pollution launched a campaign targeting McDonald's over its waste, using tactics such as sending back wrappers and schoolchildren dem...","In 1988, the US environmental groups EDF, Earth Action Network and Kids Against Pollution attacked McDonald's, the largest US fast-food chain, for the amount of rubbish it produced."
"McDonald's adoption of paper‑based packaging",1990,"Policy",,"Following pressure on its non‑recyclable waste, McDonald's agreed to replace polystyrene clamshells with paper‑based packaging.","the company was subjected to mounting pressure on its nonrecyclable waste and in 1990 agreed to move to paper-based packaging."
"Founding of The Body Shop",1976,"Organization",,"Anita Roddick established The Body Shop in Brighton, UK, to sell natural beauty products and promote environmentally conscious consumerism.","In 1976, Anita Roddick (1942-2007) founded The Body Shop in Brighton, UK to sell natural beauty products."
"Launch of 'Save the Whale' window campaign by The Body Shop",1986,"Movement",,"The Body Shop, in collaboration with Greenpeace, created a window display campaign titled 'Save the Whale' to raise awareness of marine conservation.","In 1986 it created its own window campaign, 'Save the whale', in collaboration with Greenpeace."
"Gallup poll on executive attitudes toward recyclable packaging",1989,"Research",,"A Gallup poll revealed that 58 % of Fortune 500 executives believed customers would pay more for products with recyclable packaging or components.","A 1989 Gallup poll found that 58 per cent of Fortune magazine's 500 list of business executives believed their customers would pay more for products with recyclable packaging or components."
"Survey on consumer skepticism toward environmental claims",1990,"Research",,"A 1990 survey indicated that 47 % of customers dismissed environmental claims as mere 'gimmickry', reflecting growing consumer wariness of greenwashing.","One 1990 survey indicated that 47 per cent of customers dismissed environmental claims as mere 'gimmickry'."
"Introduction of the EU voluntary Ecolabel scheme",1992,"Policy",,"The European Union launched a voluntary Ecolabel scheme to help consumers identify green products and encourage businesses to advertise environmental credentials.","One way of addressing this was through labelling, and the EU introduced a voluntary Ecolabel scheme in 1992."
"Awarding of over 1,000 EU Ecolabel licences",2010,"Other",,"By early 2010 more than 1,000 licences under the EU Ecolabel had been granted, with Italy and France holding the highest numbers of licence holders.","At the beginning of 2010, more than 1000 EU Ecolabel licences had been awarded, with Italy and France having the highest number of Ecolabel holders."
